measured,latency_ns,http_status,error_code,trade_id
false,239991750,200,,113
false,237409042,200,,105
false,256104541,200,,84
false,243366916,200,,98
false,238988916,200,,110
false,240132625,200,,95
false,240525708,200,,103
false,243872625,200,,91
false,238141709,200,,108
false,268454709,200,,85
false,244292333,200,,99
false,238997875,200,,109
false,240118584,200,,114
false,256064375,200,,102
false,238991000,200,,107
false,240081167,200,,94
false,256911709,200,,101
false,242596666,200,,104
false,242687500,200,,90
false,242240125,200,,87
false,242348750,200,,116
false,242269250,200,,115
false,243897250,200,,96
false,243677042,200,,111
false,246036792,200,,93
false,261860167,200,,100
false,262557458,200,,92
false,247315625,200,,106
false,263438291,200,,112
false,269008500,200,,118
false,253658916,200,,81
false,253442125,200,,137
false,270541375,200,,133
false,270115417,200,,136
false,270490292,200,,86
false,252257208,200,,142
false,254152917,200,,140
false,271011375,200,,132
false,270585042,200,,135
false,271671250,200,,89
false,255420750,200,,134
false,255622417,200,,128
false,260098125,200,,120
false,284698666,200,,82
false,255054208,200,,88
false,256112709,200,,124
false,272703791,200,,130
false,257190750,200,,141
false,285813750,200,,80
false,259198292,200,,123
false,254201625,200,,121
false,277123791,200,,131
false,261229584,200,,138
false,262266084,200,,127
false,259885958,200,,117
false,262329625,200,,125
false,286041125,200,,97
false,269962292,200,,129
false,276049459,200,,119
false,270298875,200,,139
false,270039542,200,,122
false,271341041,200,,126
false,288849542,200,,83
false,297869958,200,,150
false,298203000,200,,143
false,311321708,200,,161
false,283354459,200,,165
false,298878167,200,,162
false,299394417,200,,146
false,312190334,200,,153
false,312287250,200,,148
false,287493125,200,,158
false,284194917,200,,154
false,283016875,200,,159
false,284388375,200,,152
false,282227458,200,,157
false,284810750,200,,149
false,301124791,200,,156
false,284203208,200,,160
false,284675917,200,,144
false,301114917,200,,151
false,301424292,200,,164
false,313719625,200,,155
false,283566959,200,,163
false,301039708,200,,145
false,287394791,200,,166
false,285480791,200,,167
false,41646917,200,,170
false,319090208,200,,174
false,306240625,200,,147
false,38923333,200,,169
false,37946500,200,,172
false,39441459,200,,171
false,41718083,200,,173
false,311060334,200,,168
false,315825750,200,,176
false,299342541,200,,179
false,51058000,200,,177
false,49261417,200,,178
false,54370917,200,,182
false,51281625,200,,185
false,57101916,200,,184
false,56869583,200,,183
false,60325084,200,,180
false,56310625,200,,187
false,306550375,200,,181
false,69666125,200,,189
false,69537250,200,,191
false,70533458,200,,195
false,71462459,200,,200
false,76130792,200,,192
false,69709917,200,,190
false,342026750,200,,186
false,69046167,200,,197
false,68902750,200,,193
false,64804959,200,,196
false,75230000,200,,188
false,70610208,200,,194
false,71195792,200,,198
false,57059209,200,,202
false,329936375,200,,199
false,84471750,200,,205
false,77958000,200,,201
false,57363208,200,,203
false,87337792,200,,204
false,338627583,200,,206
false,343673416,200,,213
false,61144583,200,,207
false,64809375,200,,208
false,64633166,200,,211
false,64017208,200,,214
false,64706917,200,,222
false,100449583,200,,212
false,64213167,200,,221
false,65437292,200,,216
false,79057708,200,,217
false,66104292,200,,209
false,65363875,200,,215
false,88777834,200,,210
false,65298417,200,,218
false,65452375,200,,224
false,69008334,200,,219
false,102717417,200,,220
false,70267875,200,,223
false,66255334,200,,229
false,85685917,200,,227
false,85555041,200,,226
false,88281583,200,,225
false,76254167,200,,232
false,75333083,200,,230
false,55506291,200,,235
false,66328500,200,,233
false,96533750,200,,234
false,76343792,200,,231
false,61795166,200,,238
false,85629166,200,,239
false,71786916,200,,240
false,61842708,200,,237
false,62526916,200,,245
false,62158500,200,,241
false,128564084,200,,175
false,129743750,200,,250
false,98987000,200,,249
false,132592833,200,,248
false,57086375,200,,246
false,55488042,200,,247
false,58291417,200,,244
false,43328458,200,,258
false,44855916,200,,260
false,58188166,200,,251
false,58992000,200,,254
false,40622250,200,,259
false,133493709,200,,257
false,36438458,200,,262
false,100868416,200,,255
false,56619375,200,,252
false,384944667,200,,253
false,101322000,200,,256
false,138982250,200,,266
false,49401583,200,,261
false,131521375,200,,263
false,39817292,200,,265
false,49651709,200,,264
false,41371417,200,,267
false,41161833,200,,269
false,42480667,200,,268
false,37158583,200,,270
false,45909875,200,,272
false,37611542,200,,271
false,36434458,200,,273
false,40151417,200,,274
false,147576667,200,,277
false,26236542,200,,275
false,26242417,200,,276
false,33357250,200,,279
false,19471250,200,,278
false,19627292,200,,280
false,17480208,200,,281
false,22189625,200,,285
false,7464750,200,,291
false,25966666,200,,284
false,127372292,200,,288
false,86709833,200,,243
false,20671083,200,,286
false,27159666,200,,283
false,130851333,200,,289
false,13659000,200,,287
false,412890584,200,,282
false,87270250,200,,242
false,64416167,200,,290
false,67188458,200,,292
false,67390792,200,,293
false,66950000,200,,296
false,17505416,200,,294
